"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 WA 0 DM 2","8.479E-09","0.5136","439","All",1,0.999928,7.19942E-05,0.500001,7.1994E-5,7.19942E-05,1,7.19942E-05,0,4.5,2.89717,0.761125,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125,0.125001,1,1,0.179502,0.0625008,,,5.49043E-05,,,,,3.58192E-11,2.80682E-12,1.709E-5,0.149643,9.99994,9.99996,19.9999,0.00010902,9.99994,9.99996,8.05391E-06,1.47E-05,2.508E-06,1.72085E-5,9.35487E-06,2.63104E-06,0.000100966,0.00010902,2.89719E-05,7.19942E-05,3.47604E-06,6.85181E-05,0,5.49043E-5,0.125001,3.58192E-11,2.80682E-12,6.95783E-18,0.0482822,0,-1.67886E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.19942E-5,7.19942E-05,0.999928,1.44046E-11,5.49043E-05,3.58192E-11,2.80682E-12,1.45325E-5,2.5574E-6
"Risk Neutral CM 0.25 WA 0 DM 2","8.479E-09","0.5136","439","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,2.89718,0.761126,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.8972E-05,10,9.99997,0,0,0,0,0,0,2.8972E-05,2.8972E-05,2.8972E-05,0,0,0,0,0,,0,0,0,,0,-5.79091E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.102829,0.127185,0.135104,0.134876,0.134876,0.135108,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 WA 0 DM 2","8.479E-09","0.5136","439","DisputeArises",7.2E-5,0,1,0.456592,1,1,1,1,0,4.15274,2.71618,0.74563,0.162242,0.147821,0.134155,0.123341,0.113908,0.10693,0.104917,0.106686,1,1,0.179502,0.0625008,,,0.762621,,,,,4.97529E-07,3.89867E-08,0.237378,0.149643,9.11044,9.77767,18.8881,1.1119,9.11044,9.77767,0.111869,0.20419,0.0348364,0.239026,0.129939,0.0365452,1.00003,1.1119,2.71618E-05,1,0.0482822,0.951718,0,0.762621,0.125001,4.97529E-07,3.89867E-08,9.66443E-14,0.0482822,0,0.08043,0.12365,0.148742,0.150937,0.140864,0.129634,0.119557,0.105298,0.0813191,0.132576,0.150758,0.156998,0.138358,0.132224,0.111206,0.0997949,0.078085,1,1,2.0008E-07,2.0008E-07,0.762621,4.97529E-07,3.89867E-08,0.201856,0.0355218
"Risk Neutral CM 0.25 WA 0 DM 2","8.479E-09","0.5136","439","PFiles",7.2E-5,0,1,0.456592,1,1,1,1,0,4.15274,2.71618,0.74563,0.162242,0.147821,0.134155,0.123341,0.113908,0.10693,0.104917,0.106686,1,1,0.179502,0.0625008,,,0.762621,,,,,4.97529E-07,3.89867E-08,0.237378,0.149643,9.11044,9.77767,18.8881,1.1119,9.11044,9.77767,0.111869,0.20419,0.0348364,0.239026,0.129939,0.0365452,1.00003,1.1119,2.71618E-05,1,0.0482822,0.951718,0,0.762621,0.125001,4.97529E-07,3.89867E-08,9.66443E-14,0.0482822,0,0.08043,0.12365,0.148742,0.150937,0.140864,0.129634,0.119557,0.105298,0.0813191,0.132576,0.150758,0.156998,0.138358,0.132224,0.111206,0.0997949,0.078085,1,1,0,2.0008E-07,0.762621,4.97529E-07,3.89867E-08,0.201856,0.0355218
"Risk Neutral CM 0.25 WA 0 DM 2","8.479E-09","0.5136","439","DAnswers",7.2E-5,0,1,0.456592,1,1,1,1,0,4.15274,2.71618,0.74563,0.162242,0.147821,0.134155,0.123341,0.113908,0.10693,0.104917,0.106686,1,1,0.179502,0.0625008,,,0.762621,,,,,4.97529E-07,3.89867E-08,0.237378,0.149643,9.11044,9.77767,18.8881,1.1119,9.11044,9.77767,0.111869,0.204189,0.0348364,0.239026,0.129939,0.0365452,1.00003,1.1119,2.71618E-05,1,0.0482822,0.951718,0,0.762621,0.125001,4.97529E-07,3.89867E-08,9.66443E-14,0.0482822,0,0.08043,0.12365,0.148742,0.150937,0.140864,0.129634,0.119557,0.105298,0.0813191,0.132576,0.150758,0.156998,0.138358,0.132224,0.111206,0.0997949,0.078085,1,1,0,0,0.762621,4.97529E-07,3.89867E-08,0.201856,0.0355219
"Risk Neutral CM 0.25 WA 0 DM 2","8.479E-09","0.5136","439","Litigated",7.2E-5,0,1,0.456592,1,1,1,1,0,4.15274,2.71618,0.74563,0.162242,0.147821,0.134155,0.123341,0.113908,0.10693,0.104917,0.106686,1,1,0.179502,0.0625008,,,0.762621,,,,,4.97529E-07,3.89867E-08,0.237378,0.149643,9.11044,9.77767,18.8881,1.1119,9.11044,9.77767,0.111869,0.204189,0.0348364,0.239026,0.129939,0.0365452,1.00003,1.1119,2.71618E-05,1,0.0482822,0.951718,0,0.762621,0.125001,4.97529E-07,3.89867E-08,9.66443E-14,0.0482822,0,0.08043,0.12365,0.148742,0.150937,0.140864,0.129634,0.119557,0.105298,0.0813191,0.132576,0.150758,0.156998,0.138358,0.132224,0.111206,0.0997949,0.078085,1,1,0,0,0.762621,4.97529E-07,3.89867E-08,0.201856,0.0355219
"Risk Neutral CM 0.25 WA 0 DM 2","8.479E-09","0.5136","439","Not Litigated",0.9999,1,2.88113E-11,0.500004,1.441E-11,0,1,2.88113E-11,0,4.50003,2.89718,0.761126,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.89721E-05,10,9.99997,3.60141E-13,2.812E-11,6.955E-13,2.8811E-11,5.55359E-11,6.95536E-13,2.89721E-05,2.89721E-05,2.8972E-05,2.88113E-11,1.39107E-12,2.74202E-11,0,0,,0,0,0,0.0482822,0,-5.79091E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.102829,0.127185,0.135104,0.134876,0.134876,0.135108,0.127189,0.102833,1.4406E-11,0,1,1.44056E-11,0,0,0,0,0
"Risk Neutral CM 0.25 WA 0 DM 2","8.479E-09","0.5136","439","Settles",5.5E-5,0,1,0.456107,1,1,1,1,0,4.14885,2.90393,0.722848,0.181194,0.152241,0.126608,0.109385,0.0983765,0.0971328,0.109371,0.125692,1,1,0.0625002,0.0625009,,,1,,,,,0,0,0,,9.075,9.82497,18.9,1.10003,9.075,9.82497,0.1,0.173506,0.0079019,0.181408,0.0303645,0.00730922,1.00003,1.10003,2.90393E-05,1,0.00854267,0.991457,0,1,0.125001,0,0,0,0.00854267,0,-0.654952,0.162137,0.19504,0.160713,0.116161,0.118532,0.07955,0.0890067,0.0788606,0.0990886,0.14754,0.129418,0.139053,0.105832,0.14582,0.130857,0.10239,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 WA 0 DM 2","8.479E-09","0.5136","439","Tried",1.7E-5,0,1,0.45815,1,1,1,1,0,4.1652,2.11297,0.818822,0.101357,0.133624,0.158399,0.168181,0.163807,0.138405,0.0906046,0.0456227,1,1,0.555392,0.0625004,,,0,,,,,0,0,1,0.149643,9.22429,9.62569,18.85,1.15002,9.22429,9.62569,0.15,0.302765,0.121369,0.424134,0.449839,0.130471,1.00002,1.15002,2.11297E-05,1,0.175953,0.824047,0,0,,0,0,0,0.175953,0,2.44299,7.07192E-07,7.90863E-07,0.119528,0.220229,0.165301,0.248087,0.157636,0.0892172,0.240161,0.161097,0.245604,0.136122,0.217014,4.49943E-07,4.15895E-07,1.75563E-07,1,1,0,0,0,0,0,0.850357,0.149643
"Risk Neutral CM 0.25 WA 0 DM 2","8.479E-09","0.5136","439","PWins",2.6E-6,0,1,0.608906,1,1,1,1,0,5.37125,2.16217,0.941081,0.0109763,0.0383807,0.0944816,0.166569,0.206337,0.197841,0.168258,0.117157,1,1,0.593756,0.0625017,,,0,,,,,0,0,1,1,10.925,7.92498,18.85,1.15002,10.925,7.92498,0.15,1.65365,0,1.65365,2.97837,0,1.00002,1.15002,2.16217E-05,1,0.421351,0.578649,0,0,,0,0,0,0.421351,0,2.77707,2.37696E-07,4.07397E-07,0.0617328,0.147144,0.171704,0.252418,0.214098,0.152903,0.189005,0.128351,0.331456,0.104382,0.246801,2.00779E-06,2.06938E-06,8.02673E-07,1,1,0,0,0,0,0,0,1
