"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 WA 0 FSM 1","9.186E-08","0.8466","415","All",1,0.999921,7.89279E-05,0.500001,4.4911E-6,4.49114E-06,1,7.89279E-05,0,4.5,2.03974,0.851528,0.125,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.633212,0.150659,,,1.97339E-11,,,,,3.45841E-12,1.54910E-12,4.491E-6,0.474444,9.99992,9.99998,19.9999,0.00010202,9.99992,9.99998,2.69468E-06,1.867E-06,2.0756E-5,2.26225E-5,2.06177E-06,2.15424E-05,9.93255E-05,0.00010202,2.03976E-05,7.89279E-05,2.1806E-05,5.71219E-05,0,1.9734E-11,0.251779,3.45841E-12,1.54910E-12,4.39611E-24,0.276278,0,-1.39115E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,4.49115E-6,4.49114E-06,0.999996,1.35968E-11,1.97339E-11,3.45841E-12,1.54910E-12,2.36033E-6,2.1308E-6
"Risk Neutral CM 1 WA 0 FSM 1","9.186E-08","0.8466","415","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,2.03975,0.851528,0.124998,0.124998,0.124999,0.125,0.125001,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.03977E-05,10,9.99998,0,0,0,0,0,0,2.03977E-05,2.03977E-05,2.03977E-05,0,0,0,0,0,,0,0,0,,0,-7.04837E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.102829,0.127184,0.135104,0.134877,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 WA 0 FSM 1","9.186E-08","0.8466","415","DisputeArises",7.9E-5,0,1,0.461193,0.0569019,0.0569017,1,1,0,4.18955,1.81296,0.841098,0.157375,0.147435,0.135671,0.122341,0.111171,0.107194,0.108602,0.110211,1,1,0.633212,0.150659,,,2.50025E-07,,,,,4.38174E-08,1.96267E-08,0.056901,0.474444,9.00905,9.95679,18.9658,1.03416,9.00905,9.95679,0.034141,0.0236541,0.262968,0.286622,0.0261221,0.272938,1.00002,1.03416,1.81296E-05,1,0.276278,0.723722,0,2.50025E-7,0.251779,4.38174E-08,1.96267E-08,5.56978E-20,0.276278,0,0.0892943,0.122102,0.146912,0.149077,0.13934,0.129098,0.12069,0.108079,0.0847031,0.130285,0.161143,0.156377,0.126203,0.120609,0.115926,0.105747,0.0837098,0.0569019,0.0569017,0.943098,1.72269E-07,2.50025E-07,4.38174E-08,1.96267E-08,0.0299049,0.0269965
"Risk Neutral CM 1 WA 0 FSM 1","9.186E-08","0.8466","415","PFiles",4.5E-6,0,1,0.430144,1,0.999997,1,1,0,3.94116,0.356977,0.983715,0.0444728,0.116094,0.22002,0.273578,0.209581,0.0986178,0.0305784,0.00705791,1,1,0.633212,0.150659,,,4.39396E-06,,,,,7.70051E-07,3.44922E-07,0.999991,0.474444,9.15911,9.24089,18.4,1.6,9.15911,9.24089,0.599997,0.415699,0.292013,0.707712,0.459073,0.46722,1,1.6,3.56977E-06,1,0.525918,0.474082,0,4.39396E-6,0.251779,7.70051E-07,3.44922E-07,9.78839E-19,0.525918,0,3.79139,4.29339E-07,5.16575E-07,5.2419E-07,4.89951E-07,0.379182,0.376279,0.174039,0.070498,0.212536,0.43049,0.356967,1.01875E-06,1.26931E-06,1.49844E-06,1.55978E-06,1.33169E-06,1,0.999997,0,3.02747E-06,4.39396E-06,7.70051E-07,3.44922E-07,0.525552,0.47444
"Risk Neutral CM 1 WA 0 FSM 1","9.186E-08","0.8466","415","DAnswers",4.5E-6,0,1,0.430143,1,1,1,1,0,3.94115,0.356976,0.983714,0.0444729,0.116094,0.220021,0.273579,0.209581,0.0986176,0.0305776,0.0070568,1,1,0.633212,0.150659,,,4.39398E-06,,,,,7.70053E-07,3.44923E-07,0.999994,0.474444,9.15911,9.24089,18.4,1.6,9.15911,9.24089,0.599999,0.4157,0.292014,0.707714,0.459075,0.467221,1,1.6,3.56976E-06,1,0.525917,0.474083,0,4.39398E-6,0.251779,7.70053E-07,3.44923E-07,9.78842E-19,0.525917,0,3.7914,4.2934E-07,5.16576E-07,5.24191E-07,4.89953E-07,0.379183,0.376279,0.174039,0.0704974,0.212537,0.430491,0.356968,1.01875E-06,1.05309E-06,7.49862E-07,7.34547E-07,2.94344E-07,1,1,0,0,4.39398E-06,7.70053E-07,3.44923E-07,0.525553,0.474441
"Risk Neutral CM 1 WA 0 FSM 1","9.186E-08","0.8466","415","Litigated",4.5E-6,0,1,0.430143,1,1,1,1,0,3.94115,0.356976,0.983714,0.0444729,0.116094,0.220021,0.273579,0.209581,0.0986176,0.0305776,0.0070568,1,1,0.633212,0.150659,,,4.39398E-06,,,,,7.70053E-07,3.44923E-07,0.999994,0.474444,9.15911,9.24089,18.4,1.6,9.15911,9.24089,0.599999,0.4157,0.292014,0.707714,0.459075,0.467221,1,1.6,3.56976E-06,1,0.525917,0.474083,0,4.39398E-6,0.251779,7.70053E-07,3.44923E-07,9.78842E-19,0.525917,0,3.7914,4.2934E-07,5.16576E-07,5.24191E-07,4.89953E-07,0.379183,0.376279,0.174039,0.0704974,0.212537,0.430491,0.356968,1.01875E-06,1.05309E-06,7.49862E-07,7.34547E-07,2.94344E-07,1,1,0,0,4.39398E-06,7.70053E-07,3.44923E-07,0.525553,0.474441
"Risk Neutral CM 1 WA 0 FSM 1","9.186E-08","0.8466","415","Not Litigated",1,0.999926,7.44371E-05,0.500001,1.36E-11,0,1,7.44371E-05,0,4.50001,2.03974,0.851527,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99998,19.9999,9.48348E-05,9.99993,9.99998,1.35969E-12,6.478E-13,1.9444E-5,1.94442E-5,6.47766E-13,1.94442E-05,9.48348E-05,9.48348E-05,2.03976E-05,7.44371E-05,1.94442E-05,5.4993E-05,0,0,,0,0,0,0.261216,0,-1.70278E-05,0.102832,0.127187,0.135106,0.134877,0.134875,0.135105,0.127187,0.102831,0.102831,0.127185,0.135105,0.134877,0.134877,0.135106,0.127187,0.102832,1.3597E-11,0,1,1.35969E-11,0,0,0,0,0
"Risk Neutral CM 1 WA 0 FSM 1","9.186E-08","0.8466","415","Settles",2E-11,0,1,0.502927,1,1,1,1,0,4.52341,1.58187,0.911863,0.0659032,0.0987987,0.149127,0.1882,0.181796,0.139661,0.099322,0.077191,1,1,0.221103,0.282455,,,1,,,,,0,0,0,,9.05178,9.5482,18.6,1.40002,9.05178,9.5482,0.4,0.234154,0.348568,0.582722,0.118374,0.332422,1.00002,1.40002,1.58187E-05,1,0.405373,0.594627,0,1,0.251779,0,0,0,0.405373,0,0.793605,0.0633041,0.0605787,0.0690979,0.0685968,0.374451,0.204521,0.125606,0.0338452,0.0728115,0.157307,0.209495,0.154735,0.161353,0.0967736,0.0805366,0.0669879,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 WA 0 FSM 1","9.186E-08","0.8466","415","Tried",4.5E-6,0,1,0.430143,1,1,1,1,0,3.94115,0.356971,0.983714,0.0444726,0.116094,0.220021,0.273579,0.209581,0.0986174,0.0305773,0.00705647,1,1,0.633214,0.150658,,,0,,,,,0,0,1,0.474444,9.15911,9.24089,18.4,1.6,9.15911,9.24089,0.6,0.415701,0.292014,0.707715,0.459076,0.467222,1,1.6,3.56971E-06,1,0.525917,0.474083,0,0,,0,0,0,0.525917,0,3.79142,1.11318E-19,1.34652E-19,1.45096E-13,1.8854E-07,0.379183,0.37628,0.174039,0.0704975,0.212537,0.430493,0.356969,1.88802E-07,2.26971E-07,3.24642E-07,3.80673E-07,1.14612E-13,1,1,0,0,0,0,0,0.525556,0.474444
"Risk Neutral CM 1 WA 0 FSM 1","9.186E-08","0.8466","415","PWins",2.1E-6,0,1,0.508605,1,1,1,1,0,4.56884,0.393523,1.05209,0.00802533,0.0450016,0.15163,0.279964,0.281922,0.161946,0.0573123,0.0141994,1,1,0.664139,0.152875,,,0,,,,,0,0,1,1,10,8.4,18.4,1.6,10,8.4,0.6,0.876186,0,0.876186,0.96761,0,1,1.6,3.93523E-06,1,0.723814,0.276186,0,0,,0,0,0,0.723814,0,3.88708,2.0999E-20,3.09083E-20,5.31556E-14,1.09666E-07,0.304703,0.377343,0.215292,0.102662,0.16469,0.441789,0.39352,1.91701E-07,2.35696E-07,3.93558E-07,5.10506E-07,8.48243E-14,1,1,0,0,0,0,0,0,1
