"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 WA 0 UPC 1.2E-05","1.463E-06","0.9899","368","All",1,0.9999,9.99999E-05,0.5,2.001E-11,1.27026E-11,1,9.99999E-05,0,4.5,5.60224E-06,0.891203,0.125001,0.125,0.124999,0.124999,0.125,0.125,0.125,0.125,1,1,0.155224,0.0625007,,,1.03287E-11,,,,,1.15837E-12,9.37586E-19,1.22E-12,0.557792,9.9999,10,19.9999,0.0001,9.9999,10,2.42188E-11,1.182E-11,3.8085E-5,3.80847E-5,1.10073E-11,3.80846E-05,0.0001,0.0001,2.67307E-10,9.99999E-05,3.80846E-05,6.19153E-05,0,1.0329E-11,0.0625004,1.15837E-12,9.37586E-19,4.29973E-19,0.380847,0,-4.65414E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,2.0008E-11,1.27026E-11,1,7.30539E-12,1.03287E-11,1.15837E-12,9.37586E-19,5.3754E-13,6.78E-13
"Risk Neutral CM 4 WA 0 UPC 1.2E-05","1.463E-06","0.9899","368","NoDispute",0.9999,1,0,0.5,0,0,1,0,0,4.5,5.60246E-06,0.891203,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,10,10,20,2.6733E-10,10,10,0,0,0,0,0,0,2.6733E-10,2.6733E-10,2.6733E-10,0,0,0,0,0,,0,0,0,,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 WA 0 UPC 1.2E-05","1.463E-06","0.9899","368","DisputeArises",0.0001,0,1,0.500559,2.0008E-7,1.27026E-07,1,1,0,4.50447,3.43163E-06,0.891184,0.132932,0.123493,0.117739,0.1198,0.125188,0.127029,0.126526,0.127292,1,1,0.155224,0.0625007,,,1.03287E-07,,,,,1.15837E-08,9.37587E-15,1.216E-8,0.557792,9,10,19,1,9,10,2.42188E-07,1.1818E-7,0.380847,0.380847,1.10073E-07,0.380847,1,1,4.11796E-11,1,0.380847,0.619153,0,1.03287E-7,0.0625004,1.15837E-08,9.37587E-15,4.29974E-15,0.380847,0,-5.39185E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,2.0008E-07,1.27026E-07,1,7.30539E-08,1.03287E-07,1.15837E-08,9.37587E-15,5.37537E-9,6.7804E-9
"Risk Neutral CM 4 WA 0 UPC 1.2E-05","1.463E-06","0.9899","368","PFiles",2E-11,0,1,0.500559,1,0.634876,1,1,0,4.50447,3.43163E-06,0.891184,0.132932,0.123493,0.117739,0.1198,0.125188,0.127029,0.126526,0.127292,1,1,0.155224,0.0625007,,,0.516227,,,,,0.0578952,4.68606E-08,0.060754,0.557792,8.75302,9.03652,17.7895,2.21046,8.75302,9.03652,1.21046,0.590658,0.263958,0.854616,0.550146,0.300149,1,2.21046,4.11796E-11,1,0.380847,0.619153,0,0.516227,0.0625004,0.0578952,4.68606E-08,2.14901E-08,0.380847,0,-1.85536E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,0.634876,0,0.365124,0.516227,0.0578952,4.68606E-08,0.0268661,0.0338883
"Risk Neutral CM 4 WA 0 UPC 1.2E-05","1.463E-06","0.9899","368","DAnswers",1E-11,0,1,0.349929,1,1,1,1,0,3.29943,5.4052E-06,0.781449,0.208805,0.191859,0.175217,0.157444,0.126124,0.0810273,0.0414946,0.0180295,1,1,0.155224,0.0625007,,,0.813114,,,,,0.0911913,7.38106E-08,0.095695,0.557792,8.26592,9.05752,17.3234,2.67656,8.26592,9.05752,1.67656,0.814566,0.232033,1.0466,0.750754,0.399276,1,2.67656,6.48624E-11,1,0.140551,0.859449,0,0.813114,0.0625004,0.0911913,7.38106E-08,3.38492E-08,0.140551,0,0.488966,0.156544,0.187095,0.184525,0.159394,0.125556,0.0911907,0.0603425,0.0353527,0.16197,0.200333,0.212807,0.212445,0.212445,2.26993E-07,2.06128E-07,1.62615E-07,1,1,0,0,0.813114,0.0911913,7.38106E-08,0.042317,0.0533778
"Risk Neutral CM 4 WA 0 UPC 1.2E-05","1.463E-06","0.9899","368","Litigated",1E-11,0,1,0.349929,1,1,1,1,0,3.29943,5.4052E-06,0.781449,0.208805,0.191859,0.175217,0.157444,0.126124,0.0810273,0.0414946,0.0180295,1,1,0.155224,0.0625007,,,0.813114,,,,,0.0911913,7.38106E-08,0.095695,0.557792,8.26592,9.05752,17.3234,2.67656,8.26592,9.05752,1.67656,0.814566,0.232033,1.0466,0.750754,0.399276,1,2.67656,6.48624E-11,1,0.140551,0.859449,0,0.813114,0.0625004,0.0911913,7.38106E-08,3.38492E-08,0.140551,0,0.488966,0.156544,0.187095,0.184525,0.159394,0.125556,0.0911907,0.0603425,0.0353527,0.16197,0.200333,0.212807,0.212445,0.212445,2.26993E-07,2.06128E-07,1.62615E-07,1,1,0,0,0.813114,0.0911913,7.38106E-08,0.042317,0.0533778
"Risk Neutral CM 4 WA 0 UPC 1.2E-05","1.463E-06","0.9899","368","Not Litigated",1,0.9999,9.99999E-05,0.5,7.305E-12,0,1,9.99999E-05,0,4.5,5.60224E-06,0.891203,0.125001,0.125,0.124999,0.124999,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,9.9999,10,19.9999,0.0001,9.9999,10,2.92216E-12,1.471E-12,3.8085E-5,3.80846E-5,1.47078E-12,3.80846E-05,0.0001,0.0001,2.67307E-10,9.99999E-05,3.80846E-05,6.19153E-05,0,0,,0,0,0,0.380847,0,-6.21389E-12,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.3054E-12,0,1,7.30539E-12,0,0,0,0,0
"Risk Neutral CM 4 WA 0 UPC 1.2E-05","1.463E-06","0.9899","368","Settles",1E-11,0,1,0.284222,1,1,1,1,0,2.77377,6.61285E-06,0.731238,0.256086,0.232715,0.203391,0.160529,0.0970986,0.038561,0.00984741,0.00177205,1,1,0.0625001,0.0625008,,,1,,,,,0,0,0,,8.2625,9.1375,17.4,2.6,8.2625,9.1375,1.6,0.81922,0.0871877,0.906408,0.706578,0.151489,1,2.6,7.93542E-11,1,0.05018,0.94982,0,1,0.0625004,0,0,0,0.05018,0,4.78844E-07,0.192524,0.230097,0.226936,0.196029,0.154414,3.62432E-07,2.78827E-07,1.68999E-07,0.192524,0.230097,0.226936,0.196029,0.154414,2.41808E-07,2.09221E-07,1.59059E-07,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 WA 0 UPC 1.2E-05","1.463E-06","0.9899","368","Tried",1E-12,0,1,0.694128,1,1,1,1,0,6.05303,2.94604E-07,1.03963,0.000575211,0.00396954,0.0220869,0.087247,0.211135,0.291544,0.243213,0.140229,1,1,0.560277,0.0625002,,,0,,,,,0,0,1,0.557792,8.35779,8.24221,16.6,3.4,8.35779,8.24221,2.4,1.08281,1.02261,2.10541,1.46678,1.69489,1,3.4,3.53525E-12,1,0.674986,0.325014,0,0,,0,0,0,0.674986,0,3.12424,4.58409E-13,5.47872E-13,5.40347E-13,4.66754E-13,1.8376E-06,2.67034E-13,0.630569,0.369429,0.0170975,0.050233,0.127712,0.280302,0.524655,2.26202E-07,8.35713E-08,8.30519E-08,1,1,0,0,0,0,0,0.442208,0.557792
"Risk Neutral CM 4 WA 0 UPC 1.2E-05","1.463E-06","0.9899","368","PWins",7E-13,0,1,0.755844,1,1,1,1,0,6.54676,2.36786E-07,1.08024,7.12879E-06,0.000192014,0.0032842,0.0305322,0.137065,0.29081,0.320677,0.217432,1,1,0.560402,0.0625002,,,0,,,,,0,0,1,1,8.8,7.8,16.6,3.4,8.8,7.8,2.4,1.37108,0.994703,2.36578,2.02167,1.19364,1,3.4,2.84143E-12,1,0.828919,0.171081,0,0,,0,0,0,0.828919,0,2.99136,2.1133E-14,4.68587E-14,8.69145E-14,1.34425E-13,8.64649E-07,1.84945E-13,0.582448,0.417551,0.0067104,0.028265,0.0967326,0.268713,0.599579,2.59781E-07,7.2556E-08,7.73525E-08,1,1,0,0,0,0,0,0,1
